id|isDemo|region|name
01001E600C790000|1|US|PLANET ALPHA
01001F200A536000|1|US|TETRA's Escape
01001F500DD2A000|1|GB|TINY METAL: FULL METAL RUMBLE
01001F7010546000|1|JP|英雄伝説 閃の軌跡Ⅲ
01001FD01029E000|1|US|Hexagroove: Tactical DJ
010020100B768000|1|US|True Fear: Forsaken Souls - Part 1
010020800D924000|1|JP|エックスモーフ：ディフェンス
0100209012A72000|1|JP|Hell Sports（ヘルスポーツ）
010021300ABDE000|1|US|Puzzle Puppers
010021400C6C4000|1|US|Jewel Fever 2
010021600E1BC000|1|US|Pocket Stables
010021B002EEA000|1|JP|ぷよぷよ™テトリス®Ｓ スペシャルプライス
010022000BCDA000|1|US|Game Dev Story
010022000ECDA000|1|JP|すみっコぐらし　学校生活はじめるんです
010023300B0F0000|1|US|Tumblestone
010023500C2F0000|1|US|99Vidas - Definitive Edition
010023800D3F2000|1|US|Awesome Pea
010024200E97E000|1|US|Bear With Me: The Lost Robots
010025000B836000|1|JP|机でサッカー
010025B002E92000|1|US|Blaster Master Zero
010025E01076A000|1|US|Strike! Ten Pin Bowling
010026800EA0A000|1|US|DRAGON QUEST® XI S: Echoes of an Elusive Age – Definitive Edition
0100275011FB8000|1|JP|ワーキング ゾンビーズ
010027900C706000|1|US|Word Puzzles by POWGI
0100284012448000|1|JP|MAD RAT DEAD
010028900EFBC000|1|US|Pacific Wings
010029301250E000|1|US|Spiral Memoria -The Summer I Meet Myself-
01002950121EE000|1|US|Wanderlust Travel Stories
010029B00D240000|1|US|Rain City
010029E00B0D8000|1|US|Shift Happens 
01002AB01267C000|1|JP|わんニャンどうぶつ病院　ペットを助けるだいじなお仕事
01002B100B122000|1|JP|超回転 寿司ストライカー The Way of Sushido
01002B300EB86000|1|US|Anime Studio Story
01002B500EEFA000|1|US|Puzzle Quest: The Legend Returns
01002B500F0FA000|1|JP|ファイナルファンタジー・クリスタルクロニクル リマスター
01002B701239A000|1|JP|ミスタードリラーアンコール
01002C400B6B6000|1|JP|進め！キノピオ隊長
01002C6008C76000|1|JP|王だぁランド！
01002C600ECF0000|1|JP|わいわい！ナイスショットテニス
01002CD00CB94000|1|GB|Desktop Soccer
01002CE00B6A8000|1|JP|キッドトリップ RUN!
01002D000DF5A000|1|US|ONINAKI
01002E100D1E2000|1|US|Mega Mall Story
01002E901042E000|1|US|Coffee Talk
01002EB00CE48000|1|JP|ノラと皇女と野良猫ハート HD
01002FC00B694000|1|US|Fill-a-Pix: Phil's Epic Adventure
0100302010338000|1|US|Blasphemous
010030D005AE6000|1|US|Pokkén Tournament DX
010031C0122B0000|1|US|Active Neurons 2
010033200C50E000|1|JP|添いカノ ～ぎゅっと抱きしめて～
010033A012B1A000|1|JP|AVICII Invector
010037700C9F2000|1|US|Croc's World
010037B00A9C8000|1|US|UNO® for Nintendo Switch
010038100EA60000|1|US|Lethal League Blaze
010038400CADC000|1|US|Timberman VS
010039300A56C000|1|US|Squareboy vs Bullies: Arena Edition
01003980131D2000|1|JP|Unrailed!
01003AE00A872000|1|US|One More Dungeon
01003B2009D18000|1|US|Violett
01003B900F8C6000|1|JP|ドラゴンクエストビルダーズ２　破壊神シドーとからっぽの島
01003C300C66A000|1|JP|チョークダッシュカーニバル
01003DD00DE14000|1|US|Croc's World 2
01003DE00E000000|1|US|GOD EATER 3
01003DE011F28000|1|US|Water Balloon Mania
01003EB012938000|1|US|Galaxy Warfighter
01003ED00FEA2000|1|GB|Desktop Dodgeball
01003F0012E0E000|1|US|Strawberry Vinegar
010040800FB54000|1|US|Pokémon Mystery Dungeon™: Rescue Team DX
010042100E8B0000|1|US|Viviette
010042600C418000|1|JP|レイジングループ
010042600EDB6000|1|US|Songbird Symphony
010042A010DD0000|1|GB|AeternoBlade II
010043700C102000|1|US|Labyrinth of Refrain: Coven of Dusk
010044200A112000|1|US|Vostok Inc.
010044200BC42000|1|US|Detention
0100450011362000|1|US|Tyd wag vir Niemand
01004510110C4000|1|US|Alder's Blood
010045300F138000|1|JP|D.C.4 ～ダ・カーポ4～
0100454008DA8000|1|US|Stikbold! A Dodgeball Adventure DELUXE
010045600A0D4000|1|US|Quest of Dungeons
010045801053A000|1|JP|ボイド・テラリウム
010045B00849C000|1|US|MIGHTY GUNVOLT BURST
010046B0116A8000|1|US|Knight Squad
010047300CB92000|1|US|Desktop Soccer
010047A008760000|1|US|Dark Witch Music Episode: Rudymical
010048100BCD8000|1|US|Hot Springs Story
010048C00EAD0000|1|US|Grass Cutter - Mutated Lawns
010048F00CC7C000|1|US|Out There: Ω The Alliance
010049301226E000|1|JP|東方スペルバブル
010049900D3C6000|1|US|Drowning
01004A400E5A4000|1|US|Iris School of Wizardry -Vinculum Hearts-
01004A400FBA8000|1|US|The Casebook of Arkady Smith
01004A800B158000|1|JP|タンブルストーン
01004AF00A772000|1|US|PixelJunk™ Monsters 2
01004B10031BE000|1|GB|Puyo Puyo™ Tetris®
01004BE00A682000|1|US|Black Hole
01004C000BF96000|1|US|Mahjong Solitaire Refresh
