id|rank
0100BA9012B36000|1
0100000000010000|2
01007EF00011E000|3
0100535012974000|4
01008DD013200000|5
0100633007D48000|6
01002FA00DE72000|7
01006A800016E000|8
0100FF500E34A000|9
01002B30028F6000|10
010027400CDC6000|11
0100152000022000|12
0100D2D009028000|13
010082700F2D2800|14
01007960049A0000|15
01006C300E9F0000|16
0100A21007FFA000|17
01007300020FA000|18
010061D00DB74000|19
010055D009F78000|20
010028600EBDA000|21
0100CFE00CE6E000|22
01004890117B2000|23
0100EB500D92F005|24
0100E65002BB8000|25
0100D9A005ED706E|26
0100CA9002322000|27
0100C1700FB34000|28
010089B00D09C000|29
010080B00AD66000|30
0100276009872000|31
0100FC000AEF0000|32
01009B90006DC000|33
010057D0021E8000|34
0100EC9010258000|35
0100DD100AE8C000|36
0100C8D01392C000|37
0100C1F0051B6000|38
0100BBF011394000|39
0100B1F00660E000|40
01009A700A538000|41
01007FF01388E000|42
01007E100456C000|43
0100453012FEA000|44
01002CC0062B8000|45
01000B3012F3A000|46
0100052004384000|47
0100FD800D594000|48
0100EE800C93E000|49
0100EBA004726000|50
0100EB100AB42000|51
0100DCA0064A6000|52
0100BFE00E9CA000|53
010075701153A000|54
01006BB00C6F0000|55
0100FBD00F5F6000|56
0100F17004156000|57
0100E95004038000|58
0100DF200B24C000|59
0100DC300AC78000|60
0100D7000C2C6000|61
0100CAF00B744000|62
0100A5C00D162000|63
01009AA000FAA000|64
010096300DE22000|65
01006B800DE26000|66
01005CD00F85A000|67
01005C60086BE000|68
01005AA00D676000|69
010032E00E6E2000|70
01002FF008C24000|71
010017C012726000|72
0100091008272000|73
0100FEE00A64E000|74
0100EFD00A4FA000|75
0100E1700C31C000|76
0100D4900E82C000|77
0100BE500BEA2000|78
0100B7E00E026000|79
0100830008426000|80
01007F200B0C0000|81
010071F00D65A000|82
010067300059A000|83
01002D4007AE0000|84
010029600D56A000|85
0100120004644000|86
0100FBD00B91E000|87
0100F8A004458000|88
0100F7000E2B6000|89
0100F5500F9A0000|90
0100F4C009322000|91
0100F0400F202000|92
0100E66006406000|93
0100E4401139C000|94
0100E0000B7BC000|95
0100B7F00BB54000|96
01007D000AD8A000|97
010075D00E8BA000|98
01006F7001D10000|99
01005FF002E2A000|100
01005C600AC68000|101
01005B9002312000|102
010057D00B612000|103
010057D006492000|104
010051A00E99E000|105
01004BE004A86000|106
010042000A986000|107
010028D005A3D008|108
010026300BA4A000|109
01000E200DC58000|110
01000A10041EA000|111
010002D00632E000|112
0100F8F0000A2000|113
0100E9E00B052000|114
0100E95004039001|115
0100C9F009F7A000|116
0100BF7006BCA000|117
0100BAE00B470000|118
0100B7D0022EE000|119
01009C8009026000|120
010076F0049A2000|121
01006FD0080B3002|122
010064E00A932000|123
01003BC0000A0000|124
010038600B27E000|125
010029200AB1C000|126
010025C00D410000|127
010002800B818000|128
0100F8F0000A3065|129
0100F7600F3B8000|130
0100E9A00CB30000|131
0100E46006708000|132
0100E4000B6CA000|133
0100DB7003829013|134
0100B7000D89E000|135
0100B0C0086B0000|136
0100A8700BC2A000|137
0100A6300B250000|138
01009D60076F6000|139
010099A00BC1E000|140
010095300B6A4000|141
010092A00D43C000|142
010086500D3C8000|143
0100770008DD8000|144
010071E00875A000|145
01006FA012FE0000|146
01006E800E704000|147
01006AB00BEE4000|148
01006A200936C000|149
010065700EE06000|150
01005EE0036EC000|151
